countryyearcode,SLE,countrycode,countryname,year,,region,regionname,incomelevel,incomelevelname,GRxGincSC2022,GRxGincSC2021,GDP per capita (constant 2015 US$),GRpcUNUWIDER 2022,GRpc UNU WIDER,Pop total,"Population ages 00-04, female","Population ages 00-04, male",Pop<5,"Population ages 15-19, female","Population ages 20-24, female","Population ages 25-29, female","Population ages 30-34, female","Population ages 35-39, female","Population ages 40-44, female","Population ages 45-49, female",Female Pop15-49,"Mortality rate, infant (per 1,000 live births)",INFANT SURVIVAL ,Number of infants surviving to 1yr,"Birth rate, crude (per 1,000 people)",Number of births,"Maternal mortality ratio (modeled estimate, per 100,000 live births)","Maternal survival per 100,000 live births",Maternal survival rate %,"Mortality rate, under-5 (per 1,000 live births)",U5 survival rate (per 1000 live births),U5 survival %,Number of children surviving to five ,Number of maternal deaths,Number of under-five deaths,"School life expectancy, primary and secondary, both sexes (years)",School percent,People using at least basic drinking water services (% of population),People using safely managed drinking water services (% of population),People using at least basic sanitation services (% of population),People using safely managed sanitation services (% of population),"Immunization, DPT (% of children ages 12-23 months)",Control of Corruption: Estimate,Government Effectiveness: Estimate,Political Stability and Absence of Violence/Terrorism: Estimate,Regulatory Quality: Estimate,Rule of Law: Estimate,Voice and Accountability: Estimate,Out of school: Primary school,Out of school: Lower school,Out of school: Upper school,In school: Primary school,In school: Lower school,In school: Upper school
ABW1980,0,ABW,Aruba,1980,1000,LCN,Latin America and Caribbean,HIC,High income,,0,,,0,60097,2558,2704,5262,3403,3002,2778,2733,2115,1877,1721,17629,,,,22.472,1350.499784,,,,,,,,,,,,,,,,,,,,,,,NaN,NaN,NaN,NaN,NaN,NaN
ABW1981,0,ABW,Aruba,1981,1000,LCN,Latin America and Caribbean,HIC,High income,,0,,,0,60561,2668,2823,5491,3346,3104,2821,2771,2200,1882,1770,17894,,,,22.424,1358.019864,,,,,,,,,,,,,,,,,,,,,,,NaN,NaN,NaN,NaN,NaN,NaN
ABW1982,0,ABW,Aruba,1982,1000,LCN,Latin America and Caribbean,HIC,High income,,0,,,0,61341,2812,2958,5770,3247,3227,2892,2800,2324,1897,1793,18180,,,,22.329,1369.683189,,,,,,,,,,,,,,,,,,,,,,,NaN,NaN,NaN,NaN,NaN,NaN
ABW1983,0,ABW,Aruba,1983,1000,LCN,Latin America and Caribbean,HIC,High income,,0,,,0,62213,2986,3113,6099,3109,3329,2976,2828,2461,1922,1801,18426,,,,22.187,1380.319831,,,,,,,,,,,,,,,,,,,,,,,NaN,NaN,NaN,NaN,NaN,NaN
ABW1984,0,ABW,Aruba,1984,1000,LCN,Latin America and Caribbean,HIC,High income,,0,,,0,62826,3119,3241,6360,2942,3369,3054,2861,2576,1955,1797,18554,,,,21.989,1381.480914,,,,,,,,,,,,,,,,,,,,,,,NaN,NaN,NaN,NaN,NaN,NaN
ABW1985,0,ABW,Aruba,1985,1000,LCN,Latin America and Caribbean,HIC,High income,,0,,,0,63024,3146,3295,6441,2757,3331,3121,2904,2654,2005,1791,18563,,,,21.726,1369.259424,,,,,,,,,,,,,,,,,,,,,,,NaN,NaN,NaN,NaN,NaN,NaN
ABW1986,0,ABW,Aruba,1986,1000,LCN,Latin America and Caribbean,HIC,High income,,,15685.47,,,62645,3158,3342,6500,2487,3117,3152,2939,2662,2045,1785,18187,,,,21.397,1340.415065,,,,,,,,,,,,,,,,,,,,,,,NaN,NaN,NaN,NaN,NaN,NaN
ABW1987,0,ABW,Aruba,1987,1000,LCN,Latin America and Caribbean,HIC,High income,,,18445.06,,,61838,2995,3254,6249,2260,2847,3128,2985,2665,2092,1761,17738,,,,21.008,1299.092704,,,,,,,,,,,,,,,,,,,,,,,NaN,NaN,NaN,NaN,NaN,NaN
ABW1988,0,ABW,Aruba,1988,1000,LCN,Latin America and Caribbean,HIC,High income,,,22159.3,,,61072,2725,3088,5813,2107,2572,3042,3047,2698,2150,1741,17357,,,,20.57,1256.25104,,,,,,,,,,,,,,,,,,,,,,,NaN,NaN,NaN,NaN,NaN,NaN
ABW1989,0,ABW,Aruba,1989,1000,LCN,Latin America and Caribbean,HIC,High income,,,24863.07,,,61033,2495,2953,5448,2049,2340,2909,3134,2793,2228,1746,17199,,,,20.089,1226.091937,,,,,,,,,,,,,,,,,,,,,,,NaN,NaN,NaN,NaN,NaN,NaN
