countryyearcode,INVPRIMARYTEACHERS,PRIMARYTEACHERS,INVLOWERTEACHERS,LOWERTEACHERS,INVUPPERTEACHERS,
AFG1980,,,,,,
AFG1981,,,,,,
AFG1982,,,,,,
AFG1983,,,,,,
AFG1984,,,,,,
AFG1985,,,,,,
AFG1986,,,,,,
AFG1987,,,,,,
AFG1988,,,,,,
AFG1989,0.008309713,120.3410966,,,,
AFG1990,0.007047237,141.8995763,,,,
AFG1991,,,,,,
AFG1992,,,,,,
AFG1993,0.0059795,167.2380569,,,,
AFG1994,0.006906943,144.7818499,,,,
AFG1995,,,,,,
AFG1996,,,,,,
AFG1997,,,,,,
AFG1998,0.009672992,103.3806339,,,,
AFG1999,0.007626163,131.1275346,,,,
AFG2000,,,,,,
AFG2001,,,,,,
AFG2002,,,,,,
AFG2003,,,,,,
AFG2004,,,,,,
AFG2005,,,,,,
AFG2006,0.024027266,41.61938303,,,,
AFG2007,0.02313136,43.23135289,0.012234738,81.7344832,0.00542185,184.4388877
AFG2008,0.023045994,43.39148932,0.017021136,58.7504867,,
AFG2009,0.022620116,44.20843799,0.014791257,67.60750609,,
AFG2010,0.022530003,44.38525804,0.015455867,64.70034853,,
AFG2011,0.022436476,44.57027954,0.014852572,67.32840833,,
AFG2012,0.023164358,43.16976908,0.014466078,69.12723635,,
AFG2013,0.022860322,43.74391594,,,,
AFG2014,,,,,,
AFG2015,0.023862279,41.90714586,0.019492928,51.30065509,0.012499392,80.00389309
AFG2016,0.0229885,43.50001067,0.019429247,51.46879791,0.012337904,81.05104565
AFG2017,0.021294171,46.96120804,0.019758488,50.61116104,0.012481721,80.11715559
AFG2018,0.02131515,46.91498751,0.020341375,49.1608842,0.012678571,78.87324405
AFG2019,0.021370962,46.79246562,0.020405186,49.00714917,0.012670166,78.9255638
AFG2020,,,,,,
AFG2021,,,,,,
AFG2022,,,,,,
ALA1980,,,,,,
ALA1981,,,,,,
ALA1982,,,,,,
ALA1983,,,,,,
ALA1984,,,,,,
ALA1985,,,,,,
ALA1986,,,,,,
ALA1987,,,,,,
ALA1988,,,,,,
ALA1989,,,,,,
ALA1990,,,,,,
ALA1991,,,,,,
ALA1992,,,,,,
ALA1993,,,,,,
ALA1994,,,,,,
ALA1995,,,,,,
ALA1996,,,,,,
ALA1997,,,,,,
ALA1998,,,,,,
ALA1999,,,,,,
ALA2000,,,,,,
ALA2001,,,,,,
ALA2002,,,,,,
ALA2003,,,,,,
ALA2004,,,,,,
ALA2005,,,,,,
ALA2006,,,,,,
ALA2007,,,,,,
ALA2008,,,,,,
ALA2009,,,,,,
ALA2010,,,,,,
ALA2011,,,,,,
ALA2012,,,,,,
ALA2013,,,,,,
ALA2014,,,,,,
ALA2015,,,,,,
ALA2016,,,,,,
ALA2017,,,,,,
ALA2018,,,,,,
ALA2019,,,,,,
ALA2020,,,,,,
ALA2021,,,,,,
ALA2022,,,,,,
ALB1980,,,,,,
ALB1981,,,,,,
ALB1982,,,,,,
ALB1983,,,,,,
ALB1984,,,,,,
ALB1985,,,,,,
ALB1986,,,,,,
ALB1987,,,,,,
ALB1988,,,,,,
ALB1989,,,,,,
ALB1990,,,,,,
ALB1991,,,,,0.037453848,26.69952616
ALB1992,,,,,0.037534428,26.64220664
ALB1993,,,,,0.037186496,26.89148204
ALB1994,,,,,0.031754911,31.49119224
ALB1995,,,,,0.025953215,38.53087196
ALB1996,,,,,0.025700032,38.91045721
ALB1997,0.047465394,21.06798081,0.066623474,15.00972475,0.025400226,39.36972867
ALB1998,,,,,0.025115323,39.81632994
ALB1999,,,,,0.024698545,40.48821435
ALB2000,0.046170202,21.65899132,0.060442257,16.54471643,0.023802817,42.01183432
ALB2001,0.047336012,21.12556516,0.058856461,16.99048796,0.024761332,40.38555008
ALB2002,,,,,0.024724389,40.44589372
ALB2003,0.046523954,21.49430369,0.059376818,16.84158972,0.02493752,40.10021889
ALB2004,,,,,0.026382054,37.90455405
ALB2005,,,,,0.028144427,35.531013
ALB2006,,,,,0.030550186,32.73302488
ALB2007,,,,,0.033195152,30.12488129
ALB2008,0.049301045,20.28354578,0.066693639,14.99393365,0.034078205,29.34426816
ALB2009,0.046141773,21.6723357,0.068398945,14.62010859,0.044819519,22.31170768
ALB2010,0.047452086,21.07388903,0.069320023,14.42584639,0.046999977,21.27660606
ALB2011,0.047815821,20.91358025,0.06777602,14.75448112,0.047432641,21.08252843
ALB2012,0.050087375,19.9651108,0.071169288,14.05100474,0.050441129,19.82509147
ALB2013,0.052290013,19.12411075,0.07525662,13.28786757,0.053028343,18.85783972
ALB2014,0.055016835,18.17625447,0.079233309,12.62095458,0.055322349,18.07587729
ALB2015,0.056696063,17.63790888,0.083420597,11.98744713,0.058660767,17.04716872
ALB2016,0.058001599,17.24090402,0.090453402,11.05541612,0.063820372,15.66897786
ALB2017,0.059653333,16.76352253,0.094882268,10.53937711,0.067015505,14.92191993
ALB2018,0.060885574,16.42425177,0.099496147,10.05064047,0.06861436,14.5742087
ALB2019,0.061330607,16.30507261,0.104102332,9.605932771,0.071538113,13.9785627
ALB2020,0.059707023,16.74844849,0.10814429,9.246905183,0.072997768,13.69904891
ALB2021,0.058922477,16.97145204,0.112998909,8.849642979,0.074416347,13.43790774
ALB2022,,,,,,
DZA1980,0.026468197,37.78119042,,,,
DZA1981,0.026578046,37.62503814,,,,
DZA1982,0.027434181,36.45087883,,,,
DZA1983,0.028262895,35.38207961,,,,
DZA1984,0.029760118,33.60201698,,,,
DZA1985,0.030402079,32.89248711,,,,
DZA1986,0.031981907,31.26767919,,,,
DZA1987,0.033078683,30.23094934,,,,
DZA1988,0.033760284,29.62060411,,,,
DZA1989,0.032910984,30.38499253,,,,
DZA1990,0.033322367,30.00987271,,,,
DZA1991,0.034103343,29.32263887,,,,
DZA1992,0.034250056,29.19703268,,,,
DZA1993,0.035300047,28.32857443,,,,
DZA1994,0.035596558,28.09260404,0.044003928,22.72524406,0.025254223,39.5973372
DZA1995,0.035724767,27.99178514,0.044046141,22.7034645,0.0248579,40.22865999
DZA1996,0.03608532,27.71209988,0.0439505,22.75286952,0.025092372,39.85274852
DZA1997,0.036476434,27.41496057,0.043616864,22.92691204,0.024864019,40.21875944
DZA1998,,,,,,
DZA1999,0.036448934,27.43564438,,,,
DZA2000,0.03703485,27.00159473,,,,
DZA2001,0.037360734,26.76606963,,,,
DZA2002,0.038104891,26.24335005,,,,
DZA2003,0.038472668,25.99247891,,,,
DZA2004,0.040320485,24.80128918,,,,
DZA2005,0.042294772,23.64358405,,,,
DZA2006,0.044174669,22.63740796,,,,
DZA2007,0.045768587,21.84904699,,,,
DZA2008,0.047020466,21.2673349,,,,
DZA2009,0.04885201,20.46998678,,,,
DZA2010,0.049441634,20.2258687,,,,
DZA2011,0.050095729,19.96178141,,,,
DZA2012,0.050985545,19.61340213,,,,
DZA2013,0.051390342,19.45890914,,,,
DZA2014,0.050077123,19.96919838,,,,
DZA2015,0.048614371,20.57004931,,,,
DZA2016,0.046968383,21.29091808,,,,
DZA2017,0.04613591,21.67509007,,,,
DZA2018,0.045181743,22.13283339,,,,
DZA2019,0.052955169,18.88389772,,,,
DZA2020,0.046038945,21.72074083,,,,
DZA2021,0.044640312,22.40127722,,,,
DZA2022,0.04468099,22.38088291,,,,
ASM1980,,,,,,
ASM1981,,,,,,
ASM1982,0.057790783,17.30379747,,,,
ASM1983,,,,,,
ASM1984,0.048663854,20.54913295,,,,
ASM1985,0.049313187,20.27855153,,,,
ASM1986,0.06071142,16.47136564,,,,
ASM1987,0.059488629,16.80993521,,,,
ASM1988,0.062045146,16.11729622,,,,
ASM1989,0.055733809,17.9424307,,,,
ASM1990,0.053171857,18.80694143,,,,
ASM1991,0.053629897,18.64631579,,,,
ASM1992,0.058022367,17.23473282,,,,
ASM1993,,,,,,
ASM1994,,,,,,
ASM1995,,,,,,
ASM1996,,,,,,
ASM1997,,,,,,
ASM1998,,,,,,
ASM1999,,,,,,
ASM2000,,,,,,
ASM2001,,,,,,
ASM2002,,,,,,
ASM2003,,,,,,
ASM2004,,,,,,
ASM2005,,,,,,
ASM2006,,,,,,
ASM2007,,,,,,
ASM2008,,,,,,
ASM2009,,,,,,
ASM2010,,,,,,
ASM2011,,,,,,
ASM2012,,,,,,
ASM2013,,,,,,
ASM2014,,,,,,
ASM2015,,,,,,
ASM2016,,,,,,
ASM2017,,,,,,
ASM2018,,,,,,
ASM2019,,,,,,
ASM2020,,,,,,
ASM2021,,,,,,
ASM2022,,,,,,
AND1980,,,,,,
AND1981,,,,,,
AND1982,,,,,,
AND1983,0.109432799,9.138028169,,,,
AND1984,,,,,,
AND1985,,,,,,
AND1986,,,,,,
AND1987,,,,,,
AND1988,,,,,,
AND1989,,,,,,
AND1990,,,,,,
AND1991,,,,,,
AND1992,,,,,,
AND1993,,,,,,
AND1994,,,,,,
AND1995,,,,,,
AND1996,,,,,,
AND1997,,,,,,
AND1998,,,,,,
AND1999,,,,,,
AND2000,,,,,,
AND2001,,,,,,
AND2002,,,,,,
AND2003,,,,,,
AND2004,,,,,,
AND2005,,,,,,
AND2006,,,,,,
AND2007,,,,,,
AND2008,,,,,,
AND2009,,,,,,
AND2010,,,,,,
AND2011,,,,,,
AND2012,,,,,,
AND2013,,,,,,
AND2014,,,,,,
AND2015,,,,,,
AND2016,,,,,,
AND2017,,,,,,
AND2018,,,,,,
AND2019,,,,,,
AND2020,,,,,,
AND2021,,,,,,
AND2022,,,,,,
AGO1980,,,,,,
AGO1981,,,,,,
AGO1982,0.036399002,27.47328054,,,,
AGO1983,0.028229292,35.42419698,,,,
AGO1984,0.028901076,34.60078757,,,,
AGO1985,0.024609208,40.63519578,,,,
AGO1986,0.025386736,39.39064857,,,,
AGO1987,0.02379302,42.0291323,,,,
AGO1988,0.023902175,41.83719755,,,,
AGO1989,0.023217742,43.07050981,,,,
AGO1990,,,,,,
AGO1991,0.020957096,47.71653467,,,,
AGO1992,0.023636757,42.30698863,,,,
AGO1993,,,,,,
AGO1994,,,,,,
AGO1995,,,,,,
AGO1996,,,,,,
AGO1997,,,,,,
AGO1998,0.017132073,58.37005351,0.007081639,141.2102524,0.004154758,240.6879225
AGO1999,,,,,,
AGO2000,,,,,,
AGO2001,,,,,,
AGO2002,,,,,,
AGO2003,,,,,,
AGO2004,,,,,,
AGO2005,,,,,,
AGO2006,,,,,,
AGO2007,0.024132599,41.43772545,,,,
AGO2008,,,,,,
AGO2009,,,,,,
AGO2010,0.02320446,43.09516291,0.009065007,110.314308,,
AGO2011,0.028096272,35.59191083,0.00995878,100.4139056,0.009328151,107.2023777
AGO2012,,,,,,
AGO2013,,,,,,
AGO2014,,,,,,
AGO2015,0.022682206,44.08742167,0.02500099,39.9984167,0.011948958,83.68930876
AGO2016,0.018610065,53.73436505,0.025006117,39.99021449,0.012070152,82.84900022
AGO2017,0.01939112,51.56999672,,,,
