year,iso,countryyearcode,"School age population, primary education, both sexes (number)","School age population, primary education, female (number)","School age population, primary education, male (number)","School age population, lower secondary education, both sexes (number)","School age population, lower secondary education, female (number)","School age population, lower secondary education, male (number)","School age population, upper secondary education, both sexes (number)","School age population, upper secondary education, female (number)","School age population, upper secondary education, male (number)"
1980,AFG,AFG1980,2174280,1064252,1110028,923499,452080,471419,826103,404335,421768
1981,AFG,AFG1981,2147777,1049643,1098134,909944,444834,465110,812596,397242,415354
1982,AFG,AFG1982,2111398,1029978,1081420,890139,434324,455815,794061,387536,406525
1983,AFG,AFG1983,2071319,1008492,1062827,867620,422399,445221,773923,376949,396974
1984,AFG,AFG1984,2034181,988656,1045525,847870,411898,435972,755361,367114,388247
1985,AFG,AFG1985,2003734,972385,1031349,834559,404681,429878,740856,359295,381561
1986,AFG,AFG1986,1983659,962388,1021271,822971,398844,424127,728891,353277,375614
1987,AFG,AFG1987,1980721,961328,1019393,818964,396851,422113,723626,350664,372962
1988,AFG,AFG1988,2002218,972091,1030127,827053,400643,426410,728730,352983,375747
1989,AFG,AFG1989,2056509,997870,1058639,852442,412429,440013,748183,361843,386340
1990,AFG,AFG1990,2143535,1038209,1105326,896879,432887,463992,783680,377923,405757
1991,AFG,AFG1991,2290373,1105889,1184484,964265,463843,500422,844114,405793,438321
1992,AFG,AFG1992,2486505,1195943,1290562,1050344,503098,547246,923522,442107,481415
1993,AFG,AFG1993,2702567,1295325,1407242,1142575,545247,597328,1011021,482041,528980
1994,AFG,AFG1994,2903600,1388522,1515078,1228440,584941,643499,1092997,519611,573386
1995,AFG,AFG1995,3069364,1466430,1602934,1301633,619470,682163,1161339,551320,610019
1996,AFG,AFG1996,3197290,1527674,1669616,1348990,641770,707220,1199920,569147,630773
1997,AFG,AFG1997,3290566,1575443,1715123,1380953,657505,723448,1224354,581082,643272
1998,AFG,AFG1998,3369485,1618483,1751002,1407331,670909,736422,1245225,591733,653492
1999,AFG,AFG1999,3459800,1667671,1792129,1441963,688189,753774,1273375,605630,667745
2000,AFG,AFG2000,3575603,1728944,1846659,1493607,713290,780317,1314999,625443,689556
2001,AFG,AFG2001,3704575,1797354,1907221,1559806,746965,812841,1380772,658154,722618
2002,AFG,AFG2002,3866866,1879747,1987119,1634119,784437,849682,1455574,694918,760656
2003,AFG,AFG2003,4049836,1970777,2079059,1708991,822614,886377,1533487,733265,800222
2004,AFG,AFG2004,4232735,2061544,2171191,1777029,858166,918863,1605844,769704,836140
2005,AFG,AFG2005,4402471,2146234,2256237,1833216,888597,944619,1666057,801404,864653
2006,AFG,AFG2006,4591159,2238138,2353021,1874134,909382,964752,1689165,814030,875135
2007,AFG,AFG2007,4768937,2326496,2442441,1923948,934701,989247,1711224,826506,884718
2008,AFG,AFG2008,4936346,2410347,2525999,1991759,968875,1022884,1739219,841689,897530
2009,AFG,AFG2009,5104041,2493251,2610790,2080621,1013201,1067420,1782898,863688,919210
2010,AFG,AFG2010,5275543,2575718,2699825,2190495,1067521,1122974,1851957,897207,954750
2011,AFG,AFG2011,5419434,2646302,2773132,2305796,1125716,1180080,1962162,951803,1010359
2012,AFG,AFG2012,5572915,2720187,2852728,2418762,1181767,1236995,2086967,1013647,1073320
2013,AFG,AFG2013,5728572,2795198,2933374,2521276,1231431,1289845,2216781,1078302,1138479
2014,AFG,AFG2014,5870254,2864617,3005637,2610459,1273925,1336534,2339314,1139774,1199540
2015,AFG,AFG2015,5987693,2924287,3063406,2686051,1309789,1376262,2445479,1193228,1252251
2016,AFG,AFG2016,6113013,2986428,3126585,2753066,1340417,1412649,2523038,1230414,1292624
2017,AFG,AFG2017,6215175,3037922,3177253,2816005,1370215,1445790,2589066,1261197,1327869
2018,AFG,AFG2018,6293411,3077327,3216084,2877829,1401143,1476686,2650141,1289337,1360804
2019,AFG,AFG2019,6352124,3106230,3245894,2940772,1433867,1506905,2712277,1318373,1393904
2020,AFG,AFG2020,6392806,3124776,3268030,3006368,1468590,1537778,2777984,1350082,1427902
2021,AFG,AFG2021,6422789,3136310,3286479,3059985,1496364,1563621,2838749,1380667,1458082
2022,AFG,AFG2022,6457423,3150805,3306618,3105665,1519310,1586355,2902095,1413378,1488717
1980,ALA,ALA1980,,,,,,,,,
1981,ALA,ALA1981,,,,,,,,,
1982,ALA,ALA1982,,,,,,,,,
1983,ALA,ALA1983,,,,,,,,,
1984,ALA,ALA1984,,,,,,,,,
1985,ALA,ALA1985,,,,,,,,,
1986,ALA,ALA1986,,,,,,,,,
1987,ALA,ALA1987,,,,,,,,,
1988,ALA,ALA1988,,,,,,,,,
1989,ALA,ALA1989,,,,,,,,,
1990,ALA,ALA1990,,,,,,,,,
1991,ALA,ALA1991,,,,,,,,,
1992,ALA,ALA1992,,,,,,,,,
1993,ALA,ALA1993,,,,,,,,,
1994,ALA,ALA1994,,,,,,,,,
1995,ALA,ALA1995,,,,,,,,,
1996,ALA,ALA1996,,,,,,,,,
1997,ALA,ALA1997,,,,,,,,,
1998,ALA,ALA1998,,,,,,,,,
1999,ALA,ALA1999,,,,,,,,,
2000,ALA,ALA2000,,,,,,,,,
2001,ALA,ALA2001,,,,,,,,,
2002,ALA,ALA2002,,,,,,,,,
2003,ALA,ALA2003,,,,,,,,,
2004,ALA,ALA2004,,,,,,,,,
2005,ALA,ALA2005,,,,,,,,,
2006,ALA,ALA2006,,,,,,,,,
2007,ALA,ALA2007,,,,,,,,,
2008,ALA,ALA2008,,,,,,,,,
2009,ALA,ALA2009,,,,,,,,,
2010,ALA,ALA2010,,,,,,,,,
2011,ALA,ALA2011,,,,,,,,,
2012,ALA,ALA2012,,,,,,,,,
2013,ALA,ALA2013,,,,,,,,,
2014,ALA,ALA2014,,,,,,,,,
2015,ALA,ALA2015,,,,,,,,,
2016,ALA,ALA2016,,,,,,,,,
2017,ALA,ALA2017,,,,,,,,,
2018,ALA,ALA2018,,,,,,,,,
2019,ALA,ALA2019,,,,,,,,,
2020,ALA,ALA2020,,,,,,,,,
2021,ALA,ALA2021,,,,,,,,,
2022,ALA,ALA2022,,,,,,,,,
1980,ALB,ALB1980,253413,123457,129956,245028,119764,125264,243495,119342,124153
1981,ALB,ALB1981,256323,124762,131561,245930,120125,125805,244824,119938,124886
1982,ALB,ALB1982,258723,125801,132922,247903,121014,126889,244655,119799,124856
1983,ALB,ALB1983,260514,126532,133982,250340,122150,128190,243913,119389,124524
1984,ALB,ALB1984,261853,127005,134848,252957,123364,129593,243813,119287,124526
1985,ALB,ALB1985,263253,127456,135797,255542,124510,131032,244953,119761,125192
1986,ALB,ALB1986,265210,128141,137069,258020,125520,132500,247446,120855,126591
1987,ALB,ALB1987,268672,129472,139200,260753,126509,134244,251245,122499,128746
1988,ALB,ALB1988,272861,131113,141748,263593,127457,136136,255438,124254,131184
1989,ALB,ALB1989,276984,132826,144158,266003,128257,137746,258705,125588,133117
1990,ALB,ALB1990,279981,134284,145697,267285,128768,138517,260096,126196,133900
1991,ALB,ALB1991,281149,135248,145901,267004,128878,138126,259199,125978,133221
1992,ALB,ALB1992,283027,136240,146787,266500,128713,137787,254513,124250,130263
1993,ALB,ALB1993,283698,137088,146610,265266,128474,136792,250037,122590,127447
1994,ALB,ALB1994,283754,137822,145932,263871,128220,135651,246702,121299,125403
1995,ALB,ALB1995,283666,138226,145440,263542,128201,135341,245249,120516,124733
1996,ALB,ALB1996,283204,137815,145389,265256,128687,136569,245953,120245,125708
1997,ALB,ALB1997,281089,137521,143568,263931,129316,134615,240864,118874,121990
1998,ALB,ALB1998,279146,136404,142742,265664,130610,135054,238460,118293,120167
1999,ALB,ALB1999,276224,134272,141952,269318,132219,137099,238759,118678,120081
2000,ALB,ALB2000,271842,131409,140433,273054,133646,139408,241400,120136,121264
2001,ALB,ALB2001,266330,128367,137963,275076,134364,140712,245948,122609,123339
2002,ALB,ALB2002,259934,124665,135269,273344,132820,140524,251169,124617,126552
2003,ALB,ALB2003,252816,121015,131801,269937,130786,139151,256481,126827,129654
2004,ALB,ALB2004,244950,117278,127672,265540,128470,137070,260518,128522,131996
2005,ALB,ALB2005,236377,113258,123119,260558,125888,134670,262361,129120,133241
2006,ALB,ALB2006,227229,108850,118379,254691,122817,131874,261766,128407,133359
2007,ALB,ALB2007,218095,104429,113666,245548,117938,127610,253772,123370,130402
2008,ALB,ALB2008,208454,99631,108823,237279,113700,123579,245993,118533,127460
2009,ALB,ALB2009,253588,120902,132686,234258,111996,122262,179520,85873,93647
2010,ALB,ALB2010,240432,113978,126454,228390,109143,119247,175532,83351,92181
2011,ALB,ALB2011,226996,106778,120218,223073,106571,116502,172434,81527,90907
2012,ALB,ALB2012,211730,99160,112570,210470,100929,109541,167978,79867,88111
2013,ALB,ALB2013,198929,92701,106228,197471,94702,102769,162366,77810,84556
2014,ALB,ALB2014,187997,87262,100735,185629,88636,96993,155561,75201,80360
2015,ALB,ALB2015,178478,82714,95764,175712,83267,92445,147816,71961,75855
2016,ALB,ALB2016,170116,78884,91232,167379,78683,88696,140112,68329,71783
2017,ALB,ALB2017,163327,75738,87589,159387,74271,85116,134924,65106,69818
2018,ALB,ALB2018,159693,74260,85433,151433,70216,81217,130308,62090,68218
2019,ALB,ALB2019,159431,74539,84892,143455,66387,77068,125849,59256,66593
2020,ALB,ALB2020,161924,76225,85699,135948,62883,73065,120990,56428,64562
2021,ALB,ALB2021,165268,78319,86949,130134,60225,69909,115351,53510,61841
2022,ALB,ALB2022,167350,79737,87613,126993,58926,68067,108767,50313,58454
1980,DZA,DZA1980,3230254,1579992,1650262,1844111,900626,943485,1243051,607098,635953
1981,DZA,DZA1981,3329101,1628595,1700506,1893315,924821,968494,1284825,627192,657633
1982,DZA,DZA1982,3434256,1680802,1753454,1941949,949095,992854,1318684,643972,674712
1983,DZA,DZA1983,3548398,1737221,1811177,1998786,977319,1021467,1352432,660748,691684
1984,DZA,DZA1984,3668433,1796260,1872173,2062404,1008810,1053594,1388179,678428,709751
1985,DZA,DZA1985,3790596,1856014,1934582,2130465,1042434,1088031,1427553,697771,729782
1986,DZA,DZA1986,3909523,1913891,1995632,2201112,1077232,1123880,1470855,718967,751888
1987,DZA,DZA1987,4028274,1972157,2056117,2271794,1112292,1159502,1516183,741513,774670
1988,DZA,DZA1988,4143182,2028456,2114726,2347518,1149555,1197963,1565064,765781,799283
1989,DZA,DZA1989,4251377,2081529,2169848,1852643,907167,945476,1669610,817526,852084
1990,DZA,DZA1990,4349781,2130029,2219752,1915085,937641,977444,1724566,844646,879920
1991,DZA,DZA1991,4435401,2172531,2262870,1975806,967362,1008444,1783912,873845,910067
1992,DZA,DZA1992,4516343,2212300,2304043,2034015,996112,1037903,1844190,904191,939999
1993,DZA,DZA1993,4583620,2245238,2338382,2089574,1023580,1065994,1905516,934604,970912
1994,DZA,DZA1994,4634774,2270091,2364683,2141627,1049388,1092239,1965889,964174,1001715
1995,DZA,DZA1995,4668218,2286011,2382207,2190067,1073388,1116679,2024628,992747,1031881
1996,DZA,DZA1996,4683622,2292887,2390735,2234036,1095012,1139024,2080712,1020101,1060611
1997,DZA,DZA1997,4686752,2293937,2392815,2269856,1112769,1157087,2129342,1044481,1084861
1998,DZA,DZA1998,4676762,2288521,2388241,2299314,1127032,1172282,2177569,1068533,1109036
1999,DZA,DZA1999,4650863,2275494,2375369,2321392,1137458,1183934,2223432,1091177,1132255
2000,DZA,DZA2000,4605446,2253354,2352092,2335348,1143836,1191512,2262927,1110504,1152423
2001,DZA,DZA2001,4538428,2221180,2317248,2340927,1146192,1194735,2292649,1124909,1167740
2002,DZA,DZA2002,4462393,2183847,2278546,2342269,1146282,1195987,2317065,1136037,1181028
2003,DZA,DZA2003,4354494,2131041,2223453,2332948,1141585,1191363,2330682,1141971,1188711
2004,DZA,DZA2004,4216988,2063806,2153182,2315176,1133041,1182135,2335680,1143872,1191808
2005,DZA,DZA2005,4054189,1984160,2070029,2293164,1122543,1170621,2333078,1142315,1190763
2006,DZA,DZA2006,3880097,1898953,1981144,2264510,1108792,1155718,2323177,1137477,1185700
2007,DZA,DZA2007,3731271,1826217,1905054,2977842,1459111,1518731,2318546,1136577,1181969
2008,DZA,DZA2008,3609088,1766434,1842654,2894540,1418935,1475605,2300349,1128697,1171652
2009,DZA,DZA2009,2894886,1416774,1478112,2674757,1310662,1364095,2252324,1105484,1146840
2010,DZA,DZA2010,2871952,1405721,1466231,2558317,1253142,1305175,2203758,1081835,1121923
2011,DZA,DZA2011,2885216,1412387,1472829,2458434,1203523,1254911,2131781,1046236,1085545
2012,DZA,DZA2012,2923103,1431499,1491604,2374127,1161835,1212292,2038111,999901,1038210
2013,DZA,DZA2013,3018933,1478793,1540140,2317534,1133893,1183641,1946963,954368,992595
2014,DZA,DZA2014,3177399,1556533,1620866,2281973,1116587,1165386,1866729,913967,952762
2015,DZA,DZA2015,3387558,1659384,1728174,2265954,1109147,1156807,1799883,880282,919601
2016,DZA,DZA2016,3617987,1772097,1845890,2282600,1117782,1164818,1750546,855733,894813
2017,DZA,DZA2017,3832351,1876989,1955362,2356541,1154396,1202145,1717858,840112,877746
2018,DZA,DZA2018,4031562,1974407,2057155,2478959,1214539,1264420,1693099,828593,864506
2019,DZA,DZA2019,4208050,2060626,2147424,2637431,1292210,1345221,1685026,825212,859814
2020,DZA,DZA2020,4360417,2134977,2225440,2812321,1377890,1434431,1713711,839686,874025
2021,DZA,DZA2021,4497034,2201637,2295397,2983112,1461558,1521554,1792844,878622,914222
2022,DZA,DZA2022,4632798,2267883,2364915,3138900,1537788,1601112,1906843,934517,972326
1980,ASM,ASM1980,,,,,,,,,
1981,ASM,ASM1981,6738,3195,3543,,,,,,
1982,ASM,ASM1982,6835,3304,3531,,,,,,
1983,ASM,ASM1983,6960,3409,3551,,,,,,
1984,ASM,ASM1984,7110,3493,3617,,,,,,
1985,ASM,ASM1985,7280,3557,3723,,,,,,
1986,ASM,ASM1986,7478,3606,3872,,,,,,
1987,ASM,ASM1987,7783,3679,4104,,,,,,
1988,ASM,ASM1988,8107,3782,4325,,,,,,
1989,ASM,ASM1989,8415,3906,4509,1856,925,931,1853,932,921
1990,ASM,ASM1990,8670,4035,4635,1926,934,992,1861,934,927
1991,ASM,ASM1991,8857,4152,4705,2006,948,1058,1897,937,960
1992,ASM,ASM1992,9031,4278,4753,2043,951,1092,1936,939,997
1993,ASM,ASM1993,9229,4410,4819,2058,952,1106,1963,937,1026
1994,ASM,ASM1994,9452,4540,4912,2064,960,1104,1973,932,1041
1995,ASM,ASM1995,9693,4663,5030,2093,984,1109,1974,928,1046
1996,ASM,ASM1996,9918,4772,5146,2162,1025,1137,1991,941,1050
1997,ASM,ASM1997,10094,4873,5221,2203,1045,1158,2026,960,1066
1998,ASM,ASM1998,,,,,,,,,
1999,ASM,ASM1999,,,,,,,,,
2000,ASM,ASM2000,,,,,,,,,
2001,ASM,ASM2001,,,,,,,,,
2002,ASM,ASM2002,,,,,,,,,
2003,ASM,ASM2003,,,,,,,,,
2004,ASM,ASM2004,,,,,,,,,
2005,ASM,ASM2005,,,,,,,,,
2006,ASM,ASM2006,8781,4203,4578,,,,,,
2007,ASM,ASM2007,,,,,,,,,
2008,ASM,ASM2008,,,,,,,,,
2009,ASM,ASM2009,,,,,,,,,
2010,ASM,ASM2010,,,,,,,,,
2011,ASM,ASM2011,,,,,,,,,
2012,ASM,ASM2012,,,,,,,,,
2013,ASM,ASM2013,,,,,,,,,
2014,ASM,ASM2014,,,,,,,,,
2015,ASM,ASM2015,,,,,,,,,
2016,ASM,ASM2016,,,,,,,,,
2017,ASM,ASM2017,,,,,,,,,
2018,ASM,ASM2018,,,,,,,,,
2019,ASM,ASM2019,,,,,,,,,
2020,ASM,ASM2020,,,,,,,,,
2021,ASM,ASM2021,,,,,,,,,
2022,ASM,ASM2022,,,,,,,,,
1980,AND,AND1980,3498,1695,1803,2729,1286,1443,1624,713,911
1981,AND,AND1981,3603,1749,1854,3147,1501,1646,1642,728,914
1982,AND,AND1982,3387,1644,1743,3115,1496,1619,1930,893,1037
1983,AND,AND1983,3244,1571,1673,2988,1444,1544,2101,996,1105
1984,AND,AND1984,3155,1521,1634,2861,1386,1475,2092,1003,1089
1985,AND,AND1985,3151,1511,1640,2807,1361,1446,1971,949,1022
1986,AND,AND1986,3273,1561,1712,2824,1367,1457,1857,894,963
1987,AND,AND1987,3249,1551,1698,2909,1406,1503,2046,982,1064
1988,AND,AND1988,3227,1547,1680,2929,1412,1517,2200,1056,1144
1989,AND,AND1989,3216,1548,1668,2928,1408,1520,2293,1100,1193
1990,AND,AND1990,3222,1560,1662,2932,1413,1519,2329,1119,1210
1991,AND,AND1991,3256,1584,1672,2947,1424,1523,2334,1121,1213
1992,AND,AND1992,3221,1568,1653,2921,1405,1516,2390,1153,1237
1993,AND,AND1993,3212,1562,1650,2870,1377,1493,2398,1154,1244
1994,AND,AND1994,3219,1559,1660,2816,1357,1459,2354,1123,1231
1995,AND,AND1995,3234,1555,1679,2766,1344,1422,2265,1072,1193
1996,AND,AND1996,3259,1554,1705,2718,1332,1386,2166,1023,1143
1997,AND,AND1997,3924,1878,2046,2666,1306,1360,2113,1011,1102
1998,AND,AND1998,3913,1879,2034,2625,1287,1338,1378,665,713
1999,AND,AND1999,,,,,,,,,
2000,AND,AND2000,,,,,,,,,
2001,AND,AND2001,,,,,,,,,
2002,AND,AND2002,,,,,,,,,
2003,AND,AND2003,,,,,,,,,
2004,AND,AND2004,,,,,,,,,
2005,AND,AND2005,,,,,,,,,
2006,AND,AND2006,,,,,,,,,
2007,AND,AND2007,,,,,,,,,
2008,AND,AND2008,,,,,,,,,
2009,AND,AND2009,,,,,,,,,
2010,AND,AND2010,,,,,,,,,
2011,AND,AND2011,,,,,,,,,
2012,AND,AND2012,,,,,,,,,
2013,AND,AND2013,,,,,,,,,
2014,AND,AND2014,,,,,,,,,
2015,AND,AND2015,,,,,,,,,
2016,AND,AND2016,,,,,,,,,
2017,AND,AND2017,,,,,,,,,
2018,AND,AND2018,,,,,,,,,
2019,AND,AND2019,,,,,,,,,
2020,AND,AND2020,,,,,,,,,
2021,AND,AND2021,,,,,,,,,
